NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSDotName,65,65,0,0,0,0,0,0
CSSimpleName,146,1404,0,0,0,0,0,0
CSField,8,82,0,0,0,0,0,0
CSNotEql,1,2,0,0,0,0,0,0
CSAnd,1,2,0,0,0,0,0,0
CSPPEndRegion,1,10,0,0,0,0,0,0
CSParam,7,30,0,0,0,0,0,0
CSBaseMemberAccess,1,1,0,0,0,0,0,0
CSExpressionStat,49,49,0,0,0,0,0,0
CSAliasedName,15,120,0,0,0,0,0,0
CSBase,1,4,0,0,0,0,0,0
CSReturn,3,21,0,0,0,0,0,0
CSPPRegion,1,43,0,0,0,0,0,0
CSClass,5,132,0,0,0,0,0,0
CSNested,4,8,0,0,0,0,0,0
CSArgList,31,73,0,0,0,0,0,0
CSAliasedQualifiedAccess,3,27,0,0,0,0,0,0
CSParamList,8,19,0,0,0,0,0,0
CSSet,1,3,0,0,0,0,0,0
CSCompilationUnit,6,0,0,0,0,0,0,0
CSLocalVarStat,1,1,0,0,0,0,0,0
CSConstructor,2,28,0,0,0,0,0,0
CSGlobalAttributes,12,132,0,0,0,0,0,0
CSLocalVar,1,0,0,0,0,0,0,0
CSTypeRef,57,0,0,0,0,0,0,0
CSMemberAccess,48,404,0,0,0,0,0,0
CSAttrArgList,20,43,0,0,0,0,0,0
CSCast,1,2,0,0,0,0,0,0
CSTypeBase,2,2,0,0,0,0,0,0
CSLiteral,59,522,0,0,0,0,0,0
CSNewObject,17,51,0,0,0,0,0,0
CSBlock,14,28,0,0,0,0,0,0
CSSingleAccess,65,546,0,0,2,32,0,0
CSVarInit,3,3,0,0,0,0,0,0
CSThis,2,8,0,0,0,0,0,0
CSUsingNamespace,19,114,0,0,0,0,0,0
CSTypeOf,1,8,0,0,0,0,0,0
CSExprMemberAccess,41,41,0,0,1,1,0,0
CSVarDeclarator,9,82,0,0,0,0,0,0
CSAliasTypeRef,10,46,0,0,0,0,0,0
CSMethod,6,118,0,0,0,0,0,0
CSAttribute,21,0,0,0,0,0,0,0
CSProperty,3,69,0,0,0,0,0,0
CSEql,1,2,0,0,0,0,0,0
CSCall,11,0,0,0,3,0,0,0
CSAttrSection,9,18,0,0,0,0,0,0
CSAttrArg,20,0,0,0,0,0,0,0
CSAssign,36,39,0,0,0,0,0,0
CSPropBody,3,6,0,0,0,0,0,0
CSNamespace,5,55,0,0,0,0,0,0
CSGet,3,9,0,0,0,0,0,0
CSThisMemberAccess,2,2,0,0,0,0,0,0
CSIf,2,8,0,0,0,0,0,0
CSArg,31,0,0,0,0,0,0,0
