LibraryElement, DeclaringType, EntityKind, Count, Status
System.ComponentModel.EditorBrowsableState,System.ComponentModel.EditorBrowsableState,Type,2,1
System.Reflection.AssemblyVersionAttribute..ctor,System.Reflection.AssemblyVersionAttribute,Method,1,1
System.Configuration.ApplicationSettingsBase,System.Configuration.ApplicationSettingsBase,Type,2,1
System.Diagnostics.DebuggerNonUserCodeAttribute..ctor,System.Diagnostics.DebuggerNonUserCodeAttribute,Method,1,1
System.Diagnostics.CodeAnalysis.SuppressMessageAttribute..ctor,System.Diagnostics.CodeAnalysis.SuppressMessageAttribute,Method,1,1
System.Windows.Forms.Form.Text,System.Windows.Forms.Form,Property,1,1
System.Windows.Forms.Form.ClientSize,System.Windows.Forms.Form,Property,1,1
WindowsFormsApp1.Properties.Settings,WindowsFormsApp1.Properties.Settings,Type,4,1
WindowsFormsApp1.Properties.Settings..ctor,WindowsFormsApp1.Properties.Settings,Method,1,1
System.Runtime.CompilerServices.CompilerGeneratedAttribute..ctor,System.Runtime.CompilerServices.CompilerGeneratedAttribute,Method,2,1
System.ComponentModel.EditorBrowsableState.Advanced,System.ComponentModel.EditorBrowsableState,Field,2,1
System.Windows.Forms.Label..ctor,System.Windows.Forms.Label,Method,2,1
System.Windows.Forms.Label,System.Windows.Forms.Label,Type,4,1
System.Windows.Forms.TextBox.Text,System.Windows.Forms.TextBox,Property,2,1
System,System,Type,3,1
WindowsFormsApp1.Properties.Resources.set_Culture.value,WindowsFormsApp1.Properties.Resources.set_Culture.value,Type,1,1
System.Resources.ResourceManager..ctor,System.Resources.ResourceManager,Method,1,1
System.Drawing.SizeF,System.Drawing.SizeF,Type,1,1
System.Type.Assembly,System.Type,Property,1,1
System.Resources.ResourceManager,System.Resources.ResourceManager,Type,4,1
System.Windows.Forms.Label.Text,System.Windows.Forms.Label,Property,4,1
System.Windows.Forms.Label.AutoSize,System.Windows.Forms.Label,Property,4,1
System.Drawing.SizeF..ctor,System.Drawing.SizeF,Method,1,1
System.Windows.Forms.TextBox..ctor,System.Windows.Forms.TextBox,Method,1,1
WindowsFormsApp1.Properties.Settings.defaultInstance,WindowsFormsApp1.Properties.Settings,Field,1,1
System.Windows.Forms.TextBox,System.Windows.Forms.TextBox,Type,2,1
System.Reflection.AssemblyTrademarkAttribute..ctor,System.Reflection.AssemblyTrademarkAttribute,Method,1,1
System.Reflection.AssemblyProductAttribute..ctor,System.Reflection.AssemblyProductAttribute,Method,1,1
System.Windows.Forms.Application.Run,System.Windows.Forms.Application,Method,2,1
System.Windows.Forms.Application.SetCompatibleTextRenderingDefault,System.Windows.Forms.Application,Method,1,1
System.Windows.Forms.Application.EnableVisualStyles,System.Windows.Forms.Application,Method,1,1
System.ComponentModel.EditorBrowsableAttribute..ctor,System.ComponentModel.EditorBrowsableAttribute,Method,2,1
